name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip
Гае Болг,tahlan_gaebolg,3,0.5,8000,1200,3000,,2000,0,7,20000,,,,ENERGY,,3000,1,1,2,5,,,,,10000,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT",,,,,Подавление,,,,,"Попадания по корпусу или броне часто дают дуги на оружие и двигатели, нанося дополнительный ЭМИ и энергетический урон. Попадания по щитам имеют шанс создать пробивающую щит дугу в зависимости от уровня жёсткого потока цели.",,,,
Gleipnir,tahlan_gleipnir,3,,9999,1200,,3000,1000,250,5,20000,2,,,KINETIC,1500,,0.3,12,2,1.2,0,0,0,0,,1200,,,100,SYSTEM,tahlan_AMWeapon,,Великие дома,,Против брони,,,,,"Второй выстрел наносит %s урона и детонирует, нанося ещё %s урона по площади вокруг точки попадания.",фугасный | 500 осколочный,"Может быть выпущено один раз за активацию корабельной системы, когда система находится на %s",полном заряде,
Gleipnir S,tahlan_gleipnir_s,3,,9999,1200,,3000,1000,250,5,20000,1,,,KINETIC,1500,,0.3,12,1,1.2,0,0,0,0,,1200,,,100,SYSTEM,tahlan_AMWeapon,,Великие дома,,Против брони,,,,,,,"Может быть выпущено один раз за активацию корабельной системы, когда система находится на %s",полном заряде,
Тяжелый Karion искатель,tahlan_karion,3,,9999,3000,,100,300,10,0,20000,30,1,6,ENERGY,100,,0,5,6,,,,,,,500,200,8,200,"SYSTEM, DO_NOT_AIM, FIRE_WHEN_INEFFICIENT",,,Великие дома,,Поддержка,,,,,"При попадании создаёт до %s ЭМИ-дуг, каждая наносит %s ЭМИ-урона и может пробивать щиты при высоком потоке цели",3 | 100,,,
Fountainfall,tahlan_fountainfall_l,0,,5000,2000,,100,,10,,20000,95,1.5,19,HIGH_EXPLOSIVE,,,0,6,19,0.1,,,,,,300,100,8,40,"SYSTEM, DO_NOT_AIM",,,Великие дома,,Огневая поддержка,Средняя,Отличное,,,,,,,
Fountainfall,tahlan_fountainfall_r,0,,5000,2000,,100,,10,,20000,95,1.5,19,HIGH_EXPLOSIVE,,,0,6,19,0.1,,,,,,300,100,8,40,"SYSTEM, DO_NOT_AIM",,,Великие дома,,Огневая поддержка,Средняя,Отличное,,,,,,,
Gigantomachy,tahlan_gigantomachy,1,,10000,1000,1500,,500,0,20,20000,1,,,ENERGY,,1500,0.3,0.1,2,8,,,,,10000,1000,,,,SYSTEM,tahlan_AMWeapon,,Неизвестно,,Универсальное,,,,,"Выпускает дополнительные дуги примерно %s раз в секунду, нанося %s энергетического и ЭМИ-урона.",4 | 500,Может стрелять только пока система «Штурмовой режим» находится на %s,полном заряде,
Рассеянный гравитонный луч,tahlan_diffusegraviton,2,,1500,700,50,,,250,15,20000,,,,KINETIC,,60,0.1,0.1,,,,,,,2400,,,,,SYSTEM,,,,,Перехват,,,,,Нарушает подвижность целей,,,,
Hypercharged Goll пушка,tahlan_burstgoll,2,,2500,700,,10,100,50,14,20000,,,,KINETIC,15,,0.3,3.7,3,0.1,6,6,0,0,,800,,,100,SYSTEM,,,Легион Инферналис,,Подавление,,,,,,,,,
Массив Sol Dios,tahlan_sol_dios,2,,15000,700,800,,,10,150,20000,,,,ENERGY,,800,0,0.1,,,,,,,10000,,,,,"SYSTEM, PD",,,Обычное,,ПВО,,,,,,,,,
Atropos-class торпедная труба,tahlan_atropos_tube,2,,300,1200,,1000,,40,10,20000,2,0.04,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,400,150,3.5,300,"GUIDED_POOR, SYSTEM",,,Обычное,,Торпедное,Быстрая,Хорошее,,,,,,,TRUE
Мод. молотовый залп,tahlan_reloadinghammers,0,,1250,1200,,1500,,30,10,20000,12,0.2,4,HIGH_EXPLOSIVE,0,,0,5,4,0.15,0,0,0,0,,500,40,4,350,"STRIKE, SYSTEM",,,,,Торпедное,Быстрая,Нет,,,,,,,TRUE
Thermal Pulse бластер,tahlan_cinder_swivel_l,0,,100000,800,,200,,0,12,20000,9,1.2,3,ENERGY,150,,0,0.1,999999,0.3,0,8,2,3,,1000,,,,"SYSTEM,SHOW_IN_CODEX",,,,,Штурмовое,,,,,,,Одиночные выстрелы можно выпускать вручную с более высокой скорострельностью,,
Thermal Pulse бластер,tahlan_cinder_swivel_r,0,,100000,800,,200,,0,12,20000,9,1.2,3,ENERGY,150,,0,0.1,999999,0.3,0,8,2,3,,1000,,,,"SYSTEM,SHOW_IN_CODEX",,,,,Штурмовое,,,,,,,Одиночные выстрелы можно выпускать вручную с более высокой скорострельностью,,
Труба Hammer,tahlan_hammertube,0,,75,1200,,1500,,30,10,20000,2,0.02,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,500,40,4,350,"STRIKE, SYSTEM",,,,,Торпедное,Быстрая,Нет,,,,,,,TRUE
Труба Sabot,tahlan_sabottube,0,,100,1200,,100,,15,30,20000,2,0.02,,KINETIC,0,,0,10,1,,0,0,0,0,,150,50,8,300,"GUIDED_POOR, SYSTEM",,,,,Против щитов,Медленная,Плохое,,,"Попадания суббоеприпасов по броне или корпусу имеют %s шанс создать дугу по оружию и двигателям, нанося %s ЭМИ-урона.",25% | 200,,,
Хель-бритва,tahlan_helrazer,3,0.2,10000,1200,,5000,,50,10,20000,,,,ENERGY,6000,,0,10,,,,,,,,250,,,1000,"SYSTEM, STRIKE",,,Легион Инферналис,,Универсальное,,,,,Наносит дополнительный урон %s в радиусе %s вокруг точки попадания.,1000 фугасный | 300su,,,
Хель-Deathgaze,tahlan_eradicator_dmn,2,0.8,2500,800,1000,,,50,7,20000,40,4.5,20,ENERGY,,1000,0,0,0.1,0,,,,,10000,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES",,,Легион Инферналис,,Штурмовое,,,,,"Попадания по броне или корпусу выпускают %s дуг в секунду, каждая наносит %s урона",4 | 100 энергетический,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phira,tahlan_phira_burst,3,0,9999,1000,,400,,50,10,20000,,,,HIGH_EXPLOSIVE,480,,0,4,3,0.2,,,,,,1200,,,,"SYSTEM, SHOW_IN_CODEX",he20,,Великие дома,,Переменное,,,,,"Связано с корабельной системой переменного загрузчика боеприпасов, позволяя вести огонь разными типами боеприпасов",,,,
Phira разделенный залп,tahlan_phira_burst_split,3,0,9999,500,,400,,50,10,20000,,,,HIGH_EXPLOSIVE,480,,0,4,3,0.2,,,,,,1200,,,,SYSTEM,he20,,Великие дома,,,,,,,,,,,
Phira Impact,tahlan_phira_impact,3,0,9999,1000,,340,,100,10,20000,,,,KINETIC,480,,0,4,3,0.2,,,,,,1200,,,,SYSTEM,kinetic20,,Великие дома,,,,,,,,,,,
Phira Shock,tahlan_phira_shock,3,0,9999,1000,,480,300,20,10,20000,,,,ENERGY,480,,0,4,3,0.2,0,0,0,0,,1200,,,,SYSTEM,energy20,,Великие дома,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Rosenritter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturmkanone Mk.3,tahlan_sturmkanone_r,3,0.2,4000,700,,300,,30,15,20000,,,,ENERGY,300,,0,0.5,1,0,0,0,0,0,,700,,,100,SYSTEM,,,Розенриттер,,Универсальное,,,,,"При попадании вызывает взрыв, наносящий ближайшим объектам %s осколочного урона",100,,,
Sturmkanone Mk.3,tahlan_sturmkanone_l,3,0.2,4000,700,,300,,30,15,20000,,,,ENERGY,300,,0,0.5,1,0,0,0,0,0,,700,,,100,SYSTEM,,,Розенриттер,,Универсальное,,,,,"При попадании вызывает взрыв, наносящий ближайшим объектам %s осколочного урона",100,,,
Sturmkanone Mk.2,tahlan_sturmkanone_m2,3,0.2,4000,600,,300,,30,15,14,6,1,9,ENERGY,360,,0,0.5,1,0,0,5,1.5,3,,700,,,100,DO_NOT_CONSERVE,"energy15, tahlan_schneefall_bp, no_dealer",,Розенриттер,,Универсальное,,,,,"При попадании вызывает взрыв, наносящий ближайшим объектам %s осколочного урона",100,Всегда перезаряжает полный магазин. Для достижения указанного устойчивого DPS требуется %s. Нормальный устойчивый DPS равен %s.,расширенные магазины | 200,
Stahlhagel роторный пушка,tahlan_stahlhagel_r,3,0.2,2300,800,,40,,10,15,20000,,,,KINETIC,40,,0.1,0,5,0.1,0,4,0.2,0.2,,1100,,,50,SYSTEM,,,Розенриттер,,Против щитов,,,,,Снаряды имеют %s шанс нанести дополнительный осколочный урон %s при попадании по броне или корпусу,10% | 100,,,
Stahlhagel роторный пушка,tahlan_stahlhagel_l,3,0.2,2300,800,,40,,10,15,20000,,,,KINETIC,40,,0.1,0,5,0.1,0,4,0.2,0.2,,1100,,,50,SYSTEM,,,Розенриттер,,Против щитов,,,,,Снаряды имеют %s шанс нанести дополнительный осколочный урон %s при попадании по броне или корпусу,10% | 100,,,
Stahlhagel Zwilling,tahlan_stahlhagel_zwilling,3,0.2,2500,750,,15,,5,15,12,60,20,90,KINETIC,15,,0,0.1,5,0.1,0,6,0.4,0.4,,1000,,,50,DO_NOT_CONSERVE,"kinetic13, tahlan_schneefall_bp, no_dealer",,Розенриттер,,Против щитов,,,,,Снаряды имеют %s шанс нанести дополнительный осколочный урон %s при попадании по броне или корпусу,10% | 100,Всегда перезаряжает полный магазин. Для достижения указанного устойчивого DPS требуется %s. Нормальный устойчивый DPS равен %s.,расширенные магазины | 200,
Hagelsturm,tahlan_hagelsturm,3,0.2,4500,800,,30,,10,10,24,60,20,90,KINETIC,30,,0,0.1,5,0.1,0,6,0.4,0.4,,1100,,,50,DO_NOT_CONSERVE,"kinetic18, tahlan_schneefall_bp, no_dealer",,Розенриттер,,Против щитов,,,,,Снаряды имеют %s шанс нанести дополнительный осколочный урон %s при попадании по броне или корпусу,10% | 100,Всегда перезаряжает полный магазин. Для достижения указанного устойчивого DPS требуется %s. Нормальный устойчивый DPS равен %s.,расширенные магазины | 400,
Stahlhagel dummy,tahlan_stahlhagel_dummy,3,0.2,2300,800,,40,100,5,15,20000,,,,KINETIC,40,,0.1,0,5,0.1,0,4,0.2,0.2,,1100,,,50,SYSTEM,,,Розенриттер,,Против щитов,,,,,"Стреляет снарядами с микрофузионными боевыми частями, наносящими %s энергетического урона в небольшой области при попадании",50,,,
Ultra Panzerfaust,tahlan_panzerfaust_r,3,,5000,800,,600,,50,15,20000,,,,HIGH_EXPLOSIVE,690,,0,1.8,1,0,,5,1,2,,700,,,400,SYSTEM,,,Розенриттер,,Против брони,,,,,,,,,
Ultra Panzerfaust,tahlan_panzerfaust_l,3,,5000,800,,600,,50,15,20000,,,,HIGH_EXPLOSIVE,690,,0,1.8,1,0,,5,1,2,,700,,,400,SYSTEM,,,Розенриттер,,Против брони,,,,,,,,,
Schwalbenflug ракетный блок,tahlan_schwalbenflug_r,3,0.2,2500,2000,,200,,10,15,20000,150,0.5,15,HIGH_EXPLOSIVE,20,,0,9,15,0.1,,,,,,500,100,5,50,"SYSTEM, DO_NOT_AIM",,,Розенриттер,,Огневая поддержка,Средняя,Отличное,,,,,,,
Schwalbenflug ракетный блок,tahlan_schwalbenflug_l,3,0.2,2500,2000,,200,,10,15,20000,150,0.5,15,HIGH_EXPLOSIVE,20,,0,9,15,0.1,,,,,,500,100,5,50,"SYSTEM, DO_NOT_AIM",,,Розенриттер,,Огневая поддержка,Средняя,Отличное,,,,,,,
Nadel линейная винтовка,tahlan_nadel_r,3,0.2,5000,1000,,500,,50,15,20000,,,,KINETIC,650,,0,2,1,0,0,0,0,0,,1200,,,400,SYSTEM,,,Розенриттер,,Против щитов,,,,,"Миниатюрная АМ-боевая часть детонирует при попадании по броне или корпусу, нанося дополнительно от %s до %s фугасного урона",10 | 50,,,
Nadel линейная винтовка,tahlan_nadel_l,3,0.2,5000,1000,,500,,50,15,20000,,,,KINETIC,650,,0,2,1,0,0,0,0,0,,1200,,,400,SYSTEM,,,Розенриттер,,Против щитов,,,,,"Миниатюрная АМ-боевая часть детонирует при попадании по броне или корпусу, нанося дополнительно от %s до %s фугасного урона",10 | 50,,,
Hüter Interception орудие,tahlan_hueter,3,0.2,500,400,,50,,,120,5,,,,FRAGMENTATION,15,,0,0.25,,,0,0,0,0,,1500,,,100,PD,"pd10, tahlan_silberherz_bp, no_dealer",,Розенриттер,,ПВО,,,,,,,,,
Glanzgeschütz,tahlan_glanzwurf_gun_l,3,0.2,4000,800,,180,,10,30,20000,,,,ENERGY,180,,0,0.7,,,1,6,1,3,,900,,,30,"PD, PD_ALSO, SYSTEM",no_dealer,,Розенриттер,,Многоцелевое,,,,,Снаряды оснащены боевыми частями с взрывателем близости,,,,
Glanzgeschütz,tahlan_glanzwurf_gun_r,3,0.2,4000,800,,180,,10,30,20000,,,,ENERGY,180,,0,0.7,,,1,6,1,3,,900,,,30,"PD, PD_ALSO, SYSTEM",no_dealer,,Розенриттер,,Многоцелевое,,,,,Снаряды оснащены боевыми частями с взрывателем близости,,,,
Lichtkanone Mk.2,tahlan_glanzwurf_pulse_l,1,,250,600,,150,,0,15,20000,,,,ENERGY,150,,0,0.5,,,,,,,,1000,,,,SYSTEM,,,Розенриттер,,Универсальное,,,,,,,,,
Lichtkanone Mk.2,tahlan_glanzwurf_pulse_r,1,,250,600,,150,,0,15,20000,,,,ENERGY,150,,0,0.5,,,,,,,,1000,,,,SYSTEM,,,Розенриттер,,Универсальное,,,,,,,,,
Kriegsmesser пусковая,tahlan_kriegsmesser,3,0.2,2000,1500,,1000,,30,10,26,32,,,ENERGY,0,,0,10,4,0.3,0,0,0,0,,350,100,5.5,200,"STRIKE, GUIDED_POOR","strike10, rocket18, tahlan_halbmond_bp, no_dealer",,Розенриттер,,Торпедное,Средняя,Хорошее,,,"При попадании создаёт %s вторичных взрывов в радиусе %s, каждый наносит %s энергетического урона",5 | 120su | 100,,,TRUE
Dolch MRM пусковая,tahlan_dolch,1,,1000,3000,,650,,15,30,11,20,,,HIGH_EXPLOSIVE,0,,0,10,4,0.2,0,0,0,,,40,100,4,150,"DO_NOT_AIM, STRIKE","missile8, strike7, tahlan_schneefall_bp, no_dealer",,Розенриттер,,Добивание,Быстрая,Преднаведение,,,,,,,TRUE
Dolch стойка MRM,tahlan_dolch_rack,1,,200,3000,,650,,15,30,5,4,,,HIGH_EXPLOSIVE,0,,0,1,1,0,0,0,0,,,40,100,4,150,"DO_NOT_AIM, STRIKE","missile4, strike3, tahlan_schneefall_bp, no_dealer",,Розенриттер,,Добивание,Быстрая,Преднаведение,,,,,,,TRUE
Dolch скриптовый dummy,tahlan_dolch_dummy,1,,1000,3000,,650,,15,30,11,20,,,HIGH_EXPLOSIVE,0,,0,10,4,0.2,0,0,0,,,900,100,4,150,SYSTEM,,,Розенриттер,,Добивание,Быстрая,Преднаведение,,,,,,,TRUE
Strahlblick,tahlan_ethniu,1,,3000,600,600,,,0,15,12,,,,ENERGY,,780,0.1,0.5,1.4,3.4,,,,,6000,,,,,,"he14, energy10, beam10, tahlan_schneefall_bp, no_dealer",,Розенриттер,,Против брони,,,,,"При первом контакте с бронёй или корпусом корабля вызывает взрыв по площади, наносящий %s урона",250 фугасный,,,
Strahlfaust,tahlan_strahlfaust_r,1,,1600,1000,700,,,0,20,20000,,,,ENERGY,,910,0.1,0.5,1.4,3.4,,,,,6000,,,,,SYSTEM,,,Розенриттер,,Против брони,,,,,"При первом контакте с бронёй или корпусом корабля вызывает взрыв по площади, наносящий %s урона",250 фугасный,,,
Strahlfaust,tahlan_strahlfaust_l,1,,1600,1000,700,,,0,20,20000,,,,ENERGY,,910,0.1,0.5,1.4,3.4,,,,,6000,,,,,SYSTEM,,,Розенриттер,,Против брони,,,,,"При первом контакте с бронёй или корпусом корабля вызывает взрыв по площади, наносящий %s урона",250 фугасный,,,
Micro Strahlfaust,tahlan_kupfer_strahl,1,,1600,1000,400,,,0,20,20000,3,0.2,,ENERGY,,400,0.1,0.5,1.4,0.4,,,,,6000,,,,,SYSTEM,,,Розенриттер,,Против брони,,,,,"При первом контакте с бронёй или корпусом корабля вызывает взрыв по площади, наносящий %s урона",250 фугасный,,,
Mono Kriegsmesser,tahlan_kupfer_missile,3,0.2,2000,1500,,1000,,30,10,26,1,,,ENERGY,0,,0,1,1,0,0,0,0,0,,350,100,5.5,200,"SYSTEM, STRIKE, GUIDED_POOR",,,Розенриттер,,Торпедное,Средняя,Хорошее,,,"При попадании создаёт %s вторичных взрывов в радиусе %s, каждый наносит %s энергетического урона",5 | 120su | 100,,,TRUE
Strahlhammer,tahlan_strahlhammer,1,,5000,900,1500,,,0,10,26,,,,ENERGY,,1950,0.1,0.5,1,4,,,,,6000,,,,,,"he14, energy10, beam10, tahlan_schneefall_bp, no_dealer",,Розенриттер,,Против брони,,,,,"При первом контакте каждого луча с бронёй или корпусом корабля вызывает взрыв по площади, наносящий %s урона",250 фугасный,,,
Lichtkanone Mk.3,tahlan_doppellicht_r,1,,250,600,,150,,0,15,20000,,,,ENERGY,150,,0,0.3,,,,,,,,1000,,,,SYSTEM,,,Розенриттер,,Универсальное,,,,,,,,,
Lichtkanone Mk.3,tahlan_doppellicht_l,1,,250,600,,150,,0,15,20000,,,,ENERGY,150,,0,0.3,,,,,,,,1000,,,,SYSTEM,,,Розенриттер,,Универсальное,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lichtwerfer,tahlan_eisenflug_gun_r,1,,250,500,,50,,0,50,5,,,,ENERGY,50,,0,0.5,,,,,,,,2000,,,,"SYSTEM, PD, PD_ALSO",,,Розенриттер,,Универсальное,,,,,,,,,
Lichtwerfer,tahlan_eisenflug_gun_l,1,,250,500,,50,,0,50,5,,,,ENERGY,50,,0,0.5,,,,,,,,2000,,,,"SYSTEM, PD, PD_ALSO",,,Розенриттер,,Универсальное,,,,,,,,,
Glanzstrahl,tahlan_glanzstrahl,1,,2000,700,200,,,0,20,12,,,,ENERGY,,0,0.1,0.3,0.4,0.3,,,,,10000,,,,,"SYSTEM, PD",,,Розенриттер,,Универсальное,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_stahlherz_eyes,tahlan_stahlherz_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_stahlherz_cover_r,tahlan_stahlherz_cover_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_stahlherz_cover_l,tahlan_stahlherz_cover_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_stahlherz_arm_r,tahlan_stahlherz_arm_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_stahlherz_arm_l,tahlan_stahlherz_arm_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_glanzwurf_arm_l,tahlan_glanzwurf_arm_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_glanzwurf_arm_r,tahlan_glanzwurf_arm_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_glanzwurf_shoulder_l,tahlan_glanzwurf_shoulder_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_glanzwurf_shoulder_r,tahlan_glanzwurf_shoulder_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_eisenflug_arm_l,tahlan_eisenflug_arm_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_eisenflug_arm_r,tahlan_eisenflug_arm_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_eisenflug_shoulder_l,tahlan_eisenflug_shoulder_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_eisenflug_shoulder_r,tahlan_eisenflug_shoulder_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_kupferflug_shoulder_r,tahlan_kupferflug_shoulder_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_kupferflug_shoulder_l,tahlan_kupferflug_shoulder_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_kupferflug_body,tahlan_kupferflug_body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_halbmond_system,tahlan_halbmond_system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkite S,tahlan_volkite_s,3,0.2,500,350,,40,,,120,0,,,,FRAGMENTATION,,,0,0.1,,,2,6,2,4,,1000,,,20,"PD, ANTI_FTR, SYSTEM, SHOW_IN_CODEX",,,Великие дома,,ПВО,,,,,,,,,
XM лучемет,tahlan_xm_beamer,1,,200,500,25,,,10,150,0,,,,ENERGY,,100,0,0.25,,,,,,,5000,,,,,"PD, SYSTEM",,,Неизвестно,,ПВО,,,,,,,,,
XS лучемет,tahlan_xs_beamer,1,,200,400,200,,,20,150,0,,,,FRAGMENTATION,,100,0,0.25,,,,,,,5000,,,,,"PD, SYSTEM",,,Неизвестно,,ПВО,,,,,,,,,
Dirge Lance,tahlan_dirge_lance,3,0.2,2000,500,200,,,0,20,12,,,,ENERGY,,0,0.1,0.3,0.4,0.3,,,,,6000,,,,,SYSTEM,,,Великие дома,,Против брони,,,,,,,,,
Valdes,tahlan_valdes_r,1,,250,500,,25,20,0,50,5,,,,ENERGY,25,,0.2,0,,,,,,,,1000,,,,"SYSTEM, SHOW_IN_CODEX",,,,,Универсальное,,,,,,,,,
Valdes,tahlan_valdes_l,1,,250,500,,25,20,0,50,5,,,,ENERGY,25,,0.2,0,,,,,,,,1000,,,,SYSTEM,,,,,Универсальное,,,,,,,,,
Rakaton-class Guided торпеда,tahlan_heraton,3,0.5,300,1000,,500,500,30,10,2,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,300,150,4.5,250,"GUIDED_POOR,SYSTEM,SHOW_IN_CODEX",,,,,Торпедное,Быстрая,Хорошее,,,Наносит дополнительный энергетический урон %s при попадании,300,,,TRUE
конденсатор Velvet,tahlan_velvet_fighter,3,0.2,4000,600,,100,100,10,14,15,15,1,5,ENERGY,120,,0.2,1,99999,0.2,0,5,0.2,2,,900,,,30,SYSTEM,,,[ошибка_базы],,Универсальное,,,,,"Стоимость потока за выстрел %s со временем, но сэкономленный поток резко разряжается ЭМИ-дугами по самому кораблю.",снижается вдвое,,,
Хель-импульсный лазер,tahlan_irpulse_miasma,1,,250,500,,40,,0,50,5,,,,ENERGY,40,,0.2,0,,,,,,,,1500,,,,"SYSTEM, PD, PD_ALSO, ANTI_FTR",,,Легион Инферналис,,Универсальное,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#script weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTPC осколок,tahlan_utpc_splinter,0,,100000,700,,50,50,0,0,,,,,ENERGY,40,,0,4.6,3,0.2,0,10,2,5,,1000,,,,SYSTEM,,,,,,,,,,,,,,
UTPC осколок,tahlan_utpc_l_splinter,0,,100000,900,,50,50,0,0,,,,,ENERGY,40,,0,4.6,3,0.2,0,10,2,5,,1000,,,,SYSTEM,,,,,,,,,,,,,,
Gleipnir_dummy,tahlan_gleipnir_dummy,3,,9999,1200,,1500,,250,5,30,1,,,HIGH_EXPLOSIVE,1500,,0.3,10,1,,0,0,0,0,,1200,,,100,SYSTEM,,,Великие дома,,Против брони,,,,,"Боевая часть Fracture детонирует при попадании по броне или корпусу, нанося дополнительно %s осколочного урона",1000,Может стрелять только пока система «Штурмовой режим» находится на %s,полном заряде,
tahlan_vundautoforge,tahlan_vundautoforge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_adlerauge,tahlan_adlerauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_lostechvents,tahlan_lostechvents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_phaseEngines,tahlan_phaseEngines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
Луч дробящего привода,tahlan_crusherdriveweapon,0,,15000,50,100,,,,0,0,,,,ENERGY,,500,0.1,0.1,8,,,,,,10000,,,,,SYSTEM,,,,,,,,,,,,,,
Taffeta dummy,tahlan_taffeta_dummy,3,0.2,4000,300,,5,,50,15,15,,,,KINETIC,0,,1,3,,,0,0,0,0,,1000,,,300,SYSTEM,,,[ошибка_базы],,Против щитов,,,,,"При попадании создаёт %s дуг на каждый снаряд; они могут поразить %s объект в пределах %s от точки удара, нанося примерно %s ЭМИ-урона каждая",5 | любой | 400su | 50,,,
tahlan_helaltar,tahlan_helaltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_ewarsuite,tahlan_ewarsuite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
Бомбовая установка устройства Orion,tahlan_odmk2_bomblauncher,0,,200000,1000,,1000,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,1,10000,SYSTEM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_castigator_knight_glow,tahlan_castigator_knight_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_exa_pico_glow,tahlan_exa_pico_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_vendetta_gh_glow,tahlan_vendetta_gh_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_legion_gh_glow,tahlan_legion_gh_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
tahlan_dominator_gh_glow,tahlan_dominator_gh_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,
