name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,,
Указатель слабых мест,dpl_weak_spot,3,,50000,1000,25,,,0,25,2,,,,ENERGY,,50,0.1,0.1,,,,,,,2400,,,,,,,,"beam9, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Универсальное,,,,,"Этот лазер показывает слабые места цели в реальном времени, увеличивая получаемый целью урон на %s при одном полномощном луче, на %s при двух, на %s при трех и на %s при четырех или более одновременных попаданиях.",2.5%|5%|7.5%|10%,,,,18,,
Излучатель нестабильных частиц,dpl_unstable_particle,3,,50000,750,,50,,3,20,7,,,,ENERGY,75,,0,1,1,,,,,,,750,,,20,,,,"kinetic11, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Подавление,,,,,"Скорострельность этого оружия растет при непрерывной стрельбе. Требуется около %s сек. для сокращения перезарядки на %s сек. и еще около %s сек. для сокращения перезарядки на %s сек. Эффект исчезает через %s сек., если оружие не стреляет в этот период. Его перезарядка НЕ зависит от любых других модификаторов.

Выстрелы могут терять связность и вызывать взрывы. %s выстрелов достигают половины максимальной дальности, а %s выстрелов достигают полной дальности.",4|0.2|4|0.5|1.5|100%|50%,,,,22.35,,
Звон,dpl_jingle,3,,50000,800,300,,,0,20,7,,,,FRAGMENTATION,,120,0.1,0.1,,,,,,,2400,,,,,,,,"beam9, LR, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Универсальное,,,,,,,,,,18,,
Нова-бластер,dpl_nova_blaster,3,,50000,1000,,250,,25,30,8,8,0.125,,ENERGY,300,,0,3,1,,20,20,0,0,,100,400,4,500,,,ANTI_FTR,"utility8, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Давление / против истребителей,Очень медленная,Нет,,,"Не зависит от модификаторов скорости, ускорения и времени полета ракет.",,,,TRUE,13,,
Излучатель разрушительного луча,dpl_dre,3,,50000,750,250,,175,0,7,8,,,,ENERGY,,350,0.5,1,1,4,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy15, beam14, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Подавление,,,,,При полной зарядке и попадании по корпусу или броне наносит броне %s урона. Этот урон игнорирует защиту брони.,400,,,,27,,
Разрушитель щитов,dpl_shield_disruptor,3,,100000,750,,250,,0,15,15,,,,ENERGY,350,,0,7.25,4,0.25,,,,,,1000,,,,,,,"energy14, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Против щитов,,,,,Наносит дополнительный жёсткую нагрузку при попадании по щиту в размере %s от урона. Попадания по корпусу не имеют особого эффекта.,100%,,,,22.25,,
Песнопения,dpl_chants,3,,100000,1000,75,,,250,15,12,,,,KINETIC,,150,0.1,0.1,,,,,,,2400,,,,,,,,"beam12, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Подавление,,,,,"Создает стационарные точки гравитонной плотности рядом с кораблем-целью, снижая скорость и маневренность цели на %s при одном полномощном гравитонном луче, на %s при двух, на %s при трех и на %s при четырех или более одновременных попаданиях.",30%|60%|90%|95%,Гравитационные эффекты замедляют цель и сбивают ее с курса. Эффект невелик и наиболее заметен против истребителей и ракет.,,,21,,
Испаритель материи,dpl_vaporizer,3,,100000,1200,,300,,0,7,16,8,0.5,2,ENERGY,300,,0,1,,,,,,,,1350,,,,,,USE_LESS_VS_SHIELDS,"energy12, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Универсальное,,,,,"Снаряды могут лететь далеко, но движутся парами и следуют необычным траекториям.",,,,,22.125,,
Крочеты,dpl_crotchets,3,,100000,4000,,150,250,15,20,16,6,0.3,6,ENERGY,300,,0,18,6,0.3,0,0,0,,,400,200,11,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","missile15, strike11, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Против щитов,Быстрая,Отличное,,,"Когда эти моты попадают в цели, каждое попадание перекидывается дугой на оружие и двигатели, нанося энергетический урон с ЭМИ в размере %s от урона оружия. При попадании по щитам моты нарушают работу щита, нанося ему %s дополнительного урона (этот урон игнорирует эффективность щита). Моты также наносят большой урон звеньям и ракетам.",25%|100%,,,,12,,
Фазовый молниевый пульсатор,dpl_lightning_pulser,3,,100000,500,,75,200,0,100,15,4,2,1,ENERGY,100,,0,0.25,1,,,,,,,10000,,,,25,,PD,"pd14, strike11, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,ПВО,,,,Идеальная,Выпускает фазовые молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает. При попадании создает вторичные и третичные дуги с %s дальности и тем же уроном.,50%,,,,19.25,,
Дуговой бластер,dpl_arc_blaster,3,,50000,750,,200,,50,20,15,,,,ENERGY,400,,0,1,,,,,,,,10000,,,,,,,"energy12, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Универсальное,,,,,Использует похожий на туманность плазменный кластер для создания молниевых дуг. С шансом %s может выпустить до %s дуг одновременно без дополнительного потока.,5%|20,,,,22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Phase Lab Classified (Omega-Equivalents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Песня времени,dpl_song_of_time,3,,500000,4000,,3000,,25,15,30,1,0.05,1,HIGH_EXPLOSIVE,5000,,0,10,1,,,,,,,300,200,14,3000,,,"STRIKE, DO_NOT_AIM, DO_NOT_CONSERVE","restricted, no_drop, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Секретно DPL,,Дальняя поддержка (по площади),Средняя,Отличное,,,"При попадании по корпусу создает локальные фазовые аномалии, повышающие скорость света внутри; они разрушают корпус и броню, воздействуя на электромагнитные взаимодействия. Этот эффект со временем наносит в сумме %s урона броне и %s урона корпусу; этот урон игнорирует защиту брони. При попадании по щиту фазовая аномалия создает фазовую молнию к корпусу, нанося %s своего урона.",100%|100%|25%,,,TRUE,104,,
Песня измерения,dpl_song_of_dimension,3,,250000,1500,,150,,10,5,30,2,0.05,1,ENERGY,4500,,1,9,1,,,,,,,200,0,20,10000,,,,"restricted, no_drop, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Секретно DPL,,Подавление,,,,,"Снаряд является проекцией высокоразмерной пространственной аномалии и создает чисто визуальные дуги во время полета. Если дуги попадают по ближайшим вражеским щитам, они наносят указанное повреждение этим щитам, игнорируя эффективность щита. Сам снаряд урона не наносит и проходит сквозь корабли.",,,,TRUE,25,,
Песня света,dpl_song_of_light,3,,300000,600,,150,100,40,45,30,,,,ENERGY,400,,0,0.4,1,,,,,,,1000,,,300,,,PD,"restricted, no_drop, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Секретно DPL,,Подавление,,,,,"Создает цепь максимум из %s основных дуг с %s дальности оружия и %s урона по разным объектам. Если цель крупнее истребителей и ракет, она также получает обратный удар силой %s из-за перенасыщения зарядами. При попадании каждой основной дуги по цели создаются вторичные дуги с %s дальности оружия и %s урона по всем другим целям рядом. Наносит дополнительный урон истребителям и ракетам.",2|50%|100%|300%|30%|50%,,,,5.5,,
Песня пустоты,dpl_song_of_void,3,,0,1000,,100,150,40,10,30,,,,ENERGY,150,,0,0.05,1,,,,,,,10000,,,250,,,SYSTEM,"restricted, no_drop, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Секретно DPL,,Подавление,,,,,"Выпускает безвредные энергетические дуги в ближайший якорь рядом с текущим направлением оружия. Если дуга не попадает в якорь, она создает дополнительно %s жёсткой нагрузки. Если энергетическая дуга попадает в якорь, тот создает аннигиляционные дуги с базовой дальностью оружия, нанося указанный урон плюс %s урона, игнорирующего броню. Дуги игнорируют щиты и могут атаковать фазированные корабли. Якорь выпускает луч в потенциальную цель; если якорь не находит цель, эти дуги бьют обратно.",100|100,,,,5.5,,
Песня духа,dpl_song_of_spirit,3,,,1200,,100,,15,30,0,1,,,ENERGY,0,,0,10,1,,,,,,,350,200,5,550,,,"DO_NOT_AIM, DO_NOT_CONSERVE","damage_special, damage_soft_flux, restricted, no_drop, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Секретно DPL,,Подавление,Средняя,Хорошее,,,"Ракета вызывает фазовый резонанс с ближайшими целями, нанося примерно %s энергетического урона. Этот урон проходит сквозь щит; на него влияют модификаторы ракетного урона, а не энергетического оружия. Затронутая цель теряет %s боеготовности, а шанс критической неисправности увеличивается на %s.",500|5%|5%,,,TRUE,11.94,,
    Песня духа - полезная нагрузка,dpl_song_of_spirit_payload,1,,0,700,,1000,,,30,,,,,ENERGY,0,,0,20,,,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,11.91,,
Песня хаоса,dpl_song_of_chaos,3,,250000,1000,150,,300,0,15,30,,,,ENERGY,,700,5,0.5,,,,,,,2400,,,,,,,,"restricted, no_drop, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Секретно DPL,,Подавление,,,,,"Выпускает луч, дестабилизирующий электромагнитные взаимодействия; калибровка занимает %s сек. После завершения калибровки при попадании по щитам создает жёсткую нагрузку со скоростью %s от максимального потока цели в секунду, а при попадании по корпусу или броне перекидывается дугами на оружие и двигатели. Каждая дуга наносит %s от максимальной прочности корпуса цели. Если калибровка длится более %s сек., луч также начинает все чаще перекидываться на собственный корабль.",5|3.5%|2.5%|20,,,,22.85,,
Песня творения,dpl_song_of_creation,3,,50000,1250,,4000,,10,20,30,5,0.05,1,ENERGY,3500,,0,10,1,,,,,,,450,400,3,3000,,,,"restricted, no_drop, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Секретно DPL,,Подавление,,,,,"Когда снаряд находится в пределах %s дальности от другого снаряда ""Песни измерения"", дуга соединяет эти два снаряда, а затем идет к ближайшему вражескому кораблю в пределах %s дальности от этого снаряда. Эта дуга наносит %s урона снаряда, пробивает щит и игнорирует броню при нанесении урона.",250|500|5%,,,,4.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Singularity Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Орудие рока,dpl_doom_gun,3,,10000,500,,125,,10,30,10,24,2,12,KINETIC,120,,0.25,0,1,,,,,,,1000,,,50,,,,"kinetic8, LR, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Неизвестно,,Против щитов,,,,,На урон этого оружия влияют модификаторы баллистического оружия.,,,,,3.75,,
Огнемет рока,dpl_doom_flamer,3,,25000,500,,40,,3,60,12,100,5,50,ENERGY,35,,,0.05,2,0.05,0,0,0,0,,500,,,,,,,"energy15, SR, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Неизвестно,,Универсальное,,,,,На урон этого оружия влияют модификаторы энергетического оружия.,,,,,3.75,,
Луч рока,dpl_doom_ray,3,,100000,1000,500,,,0,5,24,,,,ENERGY,,400,0.1,0.1,,,,,,,2400,,,,,,,,"beam20, LR, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Неизвестно,,Подавление,,,,,Попадание по щитам создает мягкую нагрузку в размере %s от урона. Создание потока зависит от модификаторов энергетического оружия и игнорирует эффективность щита.,100%,,,,24,,
Пушка рока,dpl_doom_cannon,3,,100000,750,,800,,,20,30,,,,ENERGY,850,,0,3,2,0.5,,,,,,750,,,500,,,STRIKE,"energy20, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Неизвестно,,Универсальное,,,,,Попадание по корпусу наносит взрывной урон в размере %s от урона. Этот урон зависит от модификаторов энергетического оружия.,100%,,,,23,,
Шторм рока,dpl_doom_storm,3,,100000,2500,,150,,5,30,24,128,1,32,KINETIC,0,,0,5,32,0.1,0,0,0,0,,400,100,6,60,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Неизвестно,,Против малых целей,Быстрая,Отличное,,,,,,,,16.3,,
ПВО-лазер рока,dpl_doom_pd,3,,600,500,250,,250,0,100,6,4,1,1,HIGH_EXPLOSIVE,,200,0.1,0.1,,,,,,,10000,,,,,,,"PD,ANTI_FTR","pd9, beam6, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Неизвестно,,ПВО,,,,,,,,,,19.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Precursor Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Нуллификатор,dpl_nullifier,3,,10000000,650,300,,250,0,100,0,,,,HIGH_EXPLOSIVE,,50,0.1,0.1,,,,,,,10000,,,,,,,"SYSTEM, PD,ANTI_FTR","pd1, beam1, restricted, no_drop, no_sell, no_drop, no_drop_salvage, no_bp_drop, no_dealer",,Неизвестно,,ПВО,,,,,,,,,,19.6,,
Орудие нуллификатора,dpl_nullifier_gun,1,,10000000,700,,250,,0,20,0,10,2,1,ENERGY,25,,0.05,0.05,1,,0,10,1,5,,1000,,,,,,SYSTEM,"energy1, restricted, no_drop, no_sell, no_drop, no_drop_salvage, no_bp_drop, no_dealer",,Неизвестно,,Универсальное,,,,,,,,,,25,,
Луч нуллификатора,dpl_nullifier_lg,3,,10000000,600,2500,,1500,0,10,0,,,,ENERGY,,200,0.1,0.1,,,,,,,10000,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT,STRIKE,USE_VS_FRIGATES","energy1, restricted, no_drop, no_sell, no_drop, no_drop_salvage, no_bp_drop, no_dealer",,Неизвестно,,Против щитов,,,,,Наносит дополнительный жёсткую нагрузку при попадании по щиту и дополнительный фугасный урон при попадании по корпусу.,,,,,27,,
Нанорой,dpl_null_swarm,3,,10000000,5000,,100,,15,20,0,80,0.5,10,KINETIC,0,,0,15,10,0.05,0,0,0,0,,600,100,4.75,150,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","missile1, strike1, restricted, no_drop, no_sell, no_drop, no_drop_salvage, no_bp_drop, no_dealer",,Неизвестно,,Подавление,Очень быстрая,Особое,,,Неуправляемый после короткой начальной стадии наведения. При попадании по щитам резонаторный блок активируется и увеличивает жёсткую нагрузку на s%.,100%,,,,16.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Супергауссова пушка,dpl_ark_supergauss,3,,,3000,,5000,,3000,3,,,,,KINETIC,5500,,1,19,,,,,,,,1500,,,400,,,SYSTEM,"kinetic20, LR, restricted, no_drop, no_sell, no_drop, no_drop_salvage, no_bp_drop, no_dealer",,,,Против щитов,,,,,Попадания по щитам вызывают немедленное переполнение потока.,,,,,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Целеуказующий лазер - гамма-луч,dpl_targetinglaser1,0,,1,0,1,,,0,200,0,1000,1000,,ENERGY,,0,0.05,0.05,0.1,0.05,,,,,1000000,,,,,,,SYSTEM,,,,,Особое,,,,,,,,,,50,,
Целеуказующий лазер - фиолетовый индикатор,dpl_targetinglaser2,0,,1,0,1,,,0,200,0,1000,1000,,ENERGY,,0,0.05,0.05,0.1,0.05,,,,,1000000,,,,,,,SYSTEM,,,,,Особое,,,,,,,,,,50,,
Целеуказующий лазер - индикатор аномалии,dpl_targetinglaser3,0,,1,0,1,,,0,200,0,1000,1000,,ENERGY,,0,0.05,0.05,,,,,,,1000000,,,,,,,SYSTEM,,,,,Особое,,,,,,,,,,50,,
