name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Krima (ES),ls_krima_es,Меха-канонерка,Злые Солнца,ls_reactor_boosta,8,2000,350,3250,,275,65,,130,180,120,60,120,275,FRONT,,210,0.4,1,,,15,30,30,30,1,30,10,50000,8,25,240,0.25,8,8,,,,,,,,rare_bp,0.2,0.5,2,2,,227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarammu (ES),ls_miko_es,Супа-дестроя,Злые Солнца,ls_redbutton,13,6000,300,7000,,500,100,,95,100,80,75,100,450,OMNI,,180,0.3,0.8,,,35,60,80,60,2,30,10,120000,5,15,420,0.25,18,18,,,,,,,,rare_bp,0.5,0.4,2,4,,1009
Phaeton (ES),ls_phaeton_es,Трофейный тяжелый эсминец,Злые Солнца,ls_reactor_boosta,12,6000,500,4800,2500,300,95,1,70,40,30,25,15,500,OMNI,,120,0.5,1,,,40,100,100,200,2,100,9,42000,5,12,420,0.25,11,11,,,200,400,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ls_es_bp,,0.75,3,4,,311
Shokk Scrapjet (Es),ls_scrapjet_es,Лом-дестроя,Злые Солнца,ls_bomming_run,10,3600,500,4500,,300,80,,110,80,60,40,80,400,FRONT,,180,0.3,0.8,,,30,60,60,100,2,50,10,36000,5,15,420,0.25,9,9,,,,,,,,ls_es_bp,,0.5,2,3,,312
Gouga (ES),ls_drilla_es,Ломовой таран,Злые Солнца,ls_drilla_drive,10,5500,900,3500,,250,80,,105,90,40,35,70,600,NONE,,0,0,0,,,30,80,80,80,2,40,10,39000,5,12,420,0.25,10,10,,,,,,,,ls_es_bp,,0.5,2,3,,313
Terror (ES),ls_terror_es,Корабль ужаса,Злые Солнца,ls_ere_we_go,10,5000,500,3500,1833,250,85,1,80,80,60,30,30,500,FRONT,,180,0.4,1,,,100,350,150,60,2,30,10,40000,5,12,420,0.25,11,11,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ls_es_bp,,0.5,2,3,,314
Terror (ES - CV),ls_terror_es_cv,Корабль ужаса,Злые Солнца,ls_fly_waaagh,11,4500,450,3000,1833,225,80,2,80,80,60,30,30,500,FRONT,,180,0.4,1,,,100,200,100,60,2,30,10,58000,5,12,420,0.25,15,15,,,,,,,CARRIER,ls_es_bp,,0.5,2,3,,315
Hellsquig (ES),ls_hellsquig_es,Мекка-эсминец,Злые Солнца,ls_snazzy_boosta,12,4250,600,5000,,300,100,,90,80,80,40,80,550,FRONT,,210,0.4,0.8,,,40,80,80,90,3,30,10,65000,5,15,420,0.25,13,13,,,,,,,,ls_es_bp,,0.5,2,3,,316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flame Rumbla (ES),ls_flame_rumbla_es,Лом-круза,Злые Солнца,ls_ere_we_go,14,10000,1100,10000,,500,105,1,50,20,15,12,10,1800,FRONT,,180,0.4,1,,,120,300,300,500,4,125,8,110000,4,10,540,0.25,18,18,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ls_es_bp,,0.4,2,3,,1006
Eagle (ES),ls_eagle_es,Террор-круза,Злые Солнца,ls_fly_waaagh,15,7500,800,11000,14000,700,145,2,60,40,30,15,20,1300,FRONT,,180,0.4,0.8,,,180,300,150,100,3,33,9,125000,3,12,480,0.25,22,22,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ls_es_bp,,0.5,2,4,,401
Smash Hamma (ES),ls_smash_hamma_es,Лом-круза,Злые Солнца,ls_reactor_boosta,16,9000,1000,10000,11000,550,150,,70,40,30,15,20,1400,FRONT,,180,0.4,1,,,200,300,150,150,4,38,9,120000,4,12,480,0.25,24,24,,,,,,,,ls_es_bp,,0.5,2,4,,401.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skarfist (ES),ls_skarfist_es,Карманный боевой круза,Злые Солнца,ls_reactor_boosta,20,12000,1250,12000,,500,210,2,55,30,20,15,10,2800,FRONT,,180,0.4,1,,,250,400,400,500,10,50,8,180000,3,15,720,0.25,28,28,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",rare_bp,,0.5,2,4,,512
Star Krumpa (ES),ls_star_krumpa_es,Боевой круза,Злые Солнца,ls_redbutton,27,18000,1400,18000,,750,300,1,55,35,25,15,10,3200,OMNI,,150,0.4,1,,,600,1400,350,400,15,27,8,320000,3,12,720,0.25,40,40,,,,,,,,rare_bp,,0.4,2,4,,1011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack Fighta (ES),ls_attack_fighta_es,Штурмовой истребитель,Злые Солнца,,,300,40,100,,20,0,,300,450,400,90,200,35,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Fighta Bomma (ES),ls_fighta_bomma_es,Истребитель-бомбардировщик,Злые Солнца,,,500,60,150,,25,,,200,400,300,90,140,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Killa Kan (ES),ls_kan_es,Кан,Злые Солнца,flarelauncher_fighter,,500,125,400,,40,,,180,200,150,90,100,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Blitza Bomma (ES),ls_blitza_bomma_es,Блица-бомбардировщик,Злые Солнца,ls_uh_oh,,500,75,200,,25,,,200,350,250,80,120,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Drilla Killa (ES),ls_drillakilla_es,Буровой аппарат,Злые Солнца,ls_uh_oh,,650,125,300,,50,,,200,300,250,75,120,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Deff Dread (ES),ls_deff_dread_es,Дефф-дред,Злые Солнца,ls_reactor_boosta,,900,250,1200,,150,,,185,180,150,90,90,75,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Snakebites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrappa (SB),ls_scrappa_sb,Канонерка,Змеекусы,ls_redbutton,5,2400,400,1800,,150,45,,85,140,100,60,120,250,NONE,,0,0,0,,,15,30,40,20,1,20,9,10000,8,10,300,0.25,4,4,,,,,,,,ls_sb_bp,,0.4,2,2,,207
Sand Condor (SB),ls_sand_condor_sb,Канонерка безумных парней,Змеекусы,ls_eyu,10,2800,500,2400,,200,55,,135,200,150,50,100,350,OMNI,,180,0.4,0.8,,,20,50,40,30,1,30,10,80000,8,15,240,0.25,10,10,,,,,,,,"no_sell, no_dealer, restricted",,0.5,2,2,,227
Smol Rok (SB),ls_rok_sb,Рок,Змеекусы,ls_drilla_drive,4,1800,400,1500,,100,30,,95,120,100,45,90,300,NONE,,0,0,0,,,10,40,50,20,1,20,9,8000,8,10,300,0.25,3,3,,,,,,,SHIP_WITH_MODULES,ls_sb_bp,,0.5,2,2,,227
Smol Rok (SB) Front,ls_rok_sb_front,Рок,Змеекусы,,1,3200,100,0,,0,0,,,,,,,900,NONE,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,"no_sell, no_dealer, restricted",,0.5,2,3,,227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spine Rippa (SB),ls_spine_rippa_sb,Лом-дестроя,Змеекусы,ls_ere_we_go,7,3200,450,2550,1667,150,75,,80,60,40,30,35,350,NONE,,0,0,0,,,40,60,40,30,2,15,9,22000,8,10,360,0.25,6,6,,,,,,,,ls_sb_bp,,0.6,2,3,,308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ead' Butta,ls_fighta_sb,Пушечный таран,Змеекусы,ls_uh_oh,,500,80,100,,10,,,180,200,150,70,140,25,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Blood Axes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mumba (BA),ls_sunfish_ba,Разведывательный фрегат,Кровавые Топоры,ls_get_dat_git,3,1300,300,1000,1250,100,24,,180,150,150,80,100,140,OMNI,,180,0.4,1,,,2,10,10,20,1,20,10,10000,5,10,240,0.25,3,3,,,,,,,,ls_ba_bp,,0.5,2,2,,224
Gremlin (BA),ls_gremlin_ba,Коммандо-канонерка,Кровавые Топоры,ls_ded_sneaky,7,2800,500,1200,2000,160,40,,90,120,90,45,90,200,NONE,,,,,,,4,10,10,20,1,20,9,28000,10,20,180,0.25,6,6,,,,,,,,ls_ba_bp,,0.5,2,2,,228
Wayfarer (BA),ls_wayfarer_ba,Замаскированная канонерка,Кровавые Топоры,ls_takital_relocation,5,2250,250,1800,1500,140,60,,120,105,70,45,90,300,OMNI,,120,0.4,1,,,25,50,120,40,1,40,10,16000,8,10,240,0.25,5,5,30,,,,,,,ls_ba_bp,,0.5,2,2,,221
Leadbelcha (BA),ls_leadbelcha_ba,Перегруженная канонерка,Кровавые Топоры,ls_dakka,5,1800,400,2000,,150,50,,120,120,90,45,90,180,FRONT,,180,0.4,1.2,,,10,20,20,20,1,20,10,13500,5,10,240,0.25,3,4,,,,,,,,ls_ba_bp,,0.5,2,2,,222
Zagblitz (BA),ls_zagblitz_ba,Меха-фрегат,Кровавые Топоры,ls_redbutton,7,2000,350,2500,2188,200,60,1,135,120,70,40,80,250,OMNI,,150,0.4,0.8,,,15,30,50,25,1,25,10,30000,5,10,210,0.25,7,7,,,,,,,,ls_ba_bp,,0.5,2,2,,222
Back Stabbaz (BA),ls_back_stabbaz_ba,Таранный штурмовик,Кровавые Топоры,ls_drilla_drive,3,1800,500,800,1250,100,35,,150,150,90,100,140,300,NONE,,0,0,0,,,10,20,30,25,1,25,10,6500,5,10,240,0.25,3,3,25,75,,,,,,ls_ba_bp,,0.4,2,2,,201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebula (BA),ls_nebula_ba,Замаскированный грузовик,Кровавые Топоры,ls_redbutton,7,3600,300,2500,1700,150,70,,55,35,20,20,12,500,FRONT,,150,0.5,1,,,50,250,200,80,2,40,9,24000,8,20,240,0.25,6,6,,,,,100,200,,ls_ba_bp,,0.5,2,3,,313
Gore Stabba (BA),ls_gore_stabba_ba,Легкий дестроя,Кровавые Топоры,ls_takital_relocation,8,3000,350,3200,,225,85,,100,75,50,40,60,300,FRONT,,180,0.4,1,,,35,70,50,50,2,25,10,25000,5,12,300,0.25,9,9,,,,,,,,ls_ba_bp,,0.5,2,3,,314
Mindaz (BA),ls_escort_karrier,Эскортный карриер,Кровавые Топоры,flarelauncher_active,9,3500,250,2000,1833,100,40,2,50,30,20,20,12,400,OMNI,,120,0.4,1.2,,,100,150,100,40,2,20,9,32000,5,10,360,0.25,10,10,,,,,,,CARRIER,ls_ba_bp,,0.4,2,3,,315
Bloodfang (BA),ls_bloodfang_ba,Коммандо-дестроя,Кровавые Топоры,ls_ded_sneaky,11,4750,750,4200,,275,85,,85,60,35,30,40,550,NONE,,0,0,0,,,40,100,40,20,2,10,10,58000,4,12,300,0.25,12,12,,,,,,,,ls_ba_bp,,0.4,2,3,,316
Bufalo,ls_buffalo_ba,Замаскированный грузовик,Кровавые Топоры,ls_redbutton,6,3000,200,2200,1167,120,35,,50,25,20,15,7,400,OMNI,,120,0.5,1,,,50,200,100,80,2,40,8,22000,5,20,240,0.25,5,5,133,200,,,,,,ls_ba_bp,,0.4,2,3,,316
Orka (BA),ls_orka_ba,Подводный аппарат,Кровавые Топоры,fastmissileracks,13,3500,600,4500,,350,75,,75,60,45,25,25,450,PHASE,phasecloak,90,,,0.03,0.04,30,50,50,50,2,25,10,64000,5,30,300,0.25,14,14,,,,,,,,ls_ba_bp,,0.4,2,3,,316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falken (BA),ls_falken_ba,Тяжелый легкий круза,Кровавые Топоры,ls_takital_insertion,13,7000,800,7000,8000,400,125,,70,65,45,20,25,700,FRONT,,240,0.4,1,,,120,240,150,100,3,33,9,95000,4,12,480,0.25,18,18,,,,,,,,ls_ba_bp,,0.5,2,3,,400
Gut Blasta (BA),ls_gutblasta_ba,Арсенальный круза,Кровавые Топоры,ls_ere_we_go,16,12000,1200,10000,10000,500,195,,35,20,12,12,12,2100,FRONT,,180,0.4,1,,,200,350,150,150,5,30,8,140000,4,12,540,0.25,28,28,,,,,,,,ls_ba_bp,,0.4,2,3,,401
Gore Slag (BA),ls_gore_slag_ba,Заградительный круза,Кровавые Топоры,ls_launch_everything,14,6000,700,8000,,450,130,,60,50,30,15,20,650,FRONT,,180,0.4,1.2,,,100,250,200,100,3,33,9,100000,4,12,480,0.25,20,20,,,,,,,,ls_ba_bp,,0.4,2,3,,401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dredslaught (BA),ls_dredslaught_ba,Комманд-дред,Кровавые Топоры,ls_arty_strike,30,20000,1500,16000,,600,320,2,30,10,10,5,5,3400,FRONT,,180,0.4,1,,,800,1600,400,500,15,30,7,380000,3,12,720,0.25,45,45,,,,,,,,rare_bp,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunta Killa (BA),ls_hunta_killa_ba,Перехватчик,Кровавые Топоры,,,350,50,150,,30,0,,280,450,400,90,200,35,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Blasta Bomma (BA),ls_blasta_bomma,Тяжелый истребитель-бомбардировщик,Кровавые Топоры,ls_dakka,,800,100,500,,50,0,,180,200,150,75,120,50,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Night Squawk (BA),ls_night_squawk_ba,Скрытный файта-бомма,Кровавые Топоры,ls_ded_sneaky_fighter,,500,75,300,,75,,,250,400,350,90,180,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Riot Kan (BA),ls_kan_ba,Кан,Кровавые Топоры,flarelauncher_fighter,,550,150,400,,40,,,170,180,150,80,90,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Трофейный дрон-терминатор (КТ),ls_looted_terminator,Трофейный дрон,Кровавые Топоры,ls_ramma_drone,,500,100,200,,50,,,300,400,400,200,400,5,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,4
Deff Dread (BA),ls_deff_dread_ba,Канмандо,Кровавые Топоры,ls_ded_sneaky_fighter,,900,225,1200,,150,,,170,160,150,75,80,75,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brute (Goff),ls_brute_go,Таранный штурмовик,Гоффы,ls_drilla_drive,,1900,650,800,1250,100,35,,135,140,90,100,140,350,NONE,,,,,,,5,10,20,20,1,20,10,7500,5,10,240,0.25,3,3,,,,,,,,ls_go_bp,,0.5,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Breka (Goff),ls_bone_breaka_go,Штурмовой дестроя,Гоффы,ls_drilla_drive,,6000,1000,3250,,225,80,,95,85,35,30,65,700,NONE,,0,,,,,25,75,80,40,2,20,9,32500,5,12,420,0.25,10,10,,,,,,,,ls_go_bp,,0.5,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Stompa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stompa (DS),ls_stompa_ds,Лёгкий гаргант,Смерточерепа,ls_stomp_em,12,4000,600,5000,,450,55,,110,120,90,50,60,500,FRONT,,180,0.3,1,,,10,20,20,20,1,20,9,80000,8,20,300,0.25,16,16,,,,,,,,ls_ds_bp,,0.3,2,3,,2103
Stompa (ES),ls_stompa_es,Лёгкий гаргант,Злые Солнца,ls_stomp_em,12,3500,550,5000,,450,55,,135,140,100,60,75,500,FRONT,,180,0.3,1,,,10,20,20,20,1,20,9,80000,8,20,300,0.25,16,16,,,,,,,,ls_es_bp,,0.3,2,3,,2103
Stompa (BA),ls_stompa_ba,Лёгкий гаргант,Кровавые Топоры,ls_stomp_em,12,3500,600,5000,,450,55,,120,120,90,50,60,500,FRONT,,180,0.3,1,,,10,20,20,20,1,20,9,80000,8,20,300,0.25,16,16,,,,,,,,ls_ba_bp,,0.3,2,3,,2103
Stompa (BM),ls_stompa_bm,Лёгкий гаргант,Дурные Луны,ls_stomp_em,12,3500,550,5750,,500,65,,110,120,90,50,60,500,FRONT,,180,0.3,1,,,10,20,20,20,1,20,9,80000,8,20,300,0.25,16,16,,,,,,,,ls_bm_bp,,0.3,2,3,,2103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunt,ls_grunt,Шаттл,Орочий,ls_ere_we_go,3,1800,300,900,938,100,25,,100,75,50,45,60,300,NONE,,0,0,0,,,10,120,80,40,1,40,9,4500,5,10,240,0.25,2,2,35,70,,,50,100,"CIVILIAN, TRANSPORT",ls_orky_bp,,0.5,2,3,,1003
Haula,ls_haula,Хаула,Орочий,ls_redbutton,5,3500,300,1500,,100,35,,40,25,20,15,7,500,FRONT,,120,0.5,1,,,20,30,250,300,2,150,9,20000,5,20,240,0.25,3,3,133,200,,,,,"CIVILIAN, FREIGHTER",ls_orky_bp,,0.6,2,4,,304
Mega Haula,ls_mega_haula,Хаула,Орочий,ls_redbutton,10,7500,650,4000,3600,200,60,1,50,25,10,12,12,2400,FRONT,,150,0.5,1,,,80,160,500,800,4,200,8,65000,3,20,480,0.25,10,10,,,,,,,"CIVILIAN, FREIGHTER",ls_orky_bp,,0.6,2,3,,411.2
Loot Hoarda,ls_loot_horda,Корабль добычи,Орочий,damper,17,13500,500,7000,6000,350,175,1,30,12,5,4,2,4800,NONE,,0,0,0,,,150,500,1800,1200,10,40,7,125000,2,20,720,0.25,21,21,,,,,,,"CIVILIAN, FREIGHTER",ls_orky_bp,,0.6,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suisei Yosei,ls_miko_comet,Суперистребитель,Орочий,miko_repairkit,20,2300,450,7500,,500,40,,160,120,65,120,150,390,FRONT,,240,0.3,0.85,,,10,50,50,50,1,20,10,600000,6,20,400,0.25,20,20,,,,,,,,"no_sell, no_dealer, restricted",,0.4,2,3,,77777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кило Флуорен,ls_lambda,Прототип разведывательного эсминца,Высокие технологии,ls_lambda_teleporter,15,4500,400,8000,,550,70,,100,120,100,40,80,400,OMNI,,180,0.5,0.6,,,29,50,100,80,2,40,10,250000,5,20,420,0.25,20,20,,,,,,,,"no_sell, no_dealer, restricted",,0.75,2,2,,
Apeiron (Baa),ls_aperion_baa,Прототип канонерки,Высокие технологии,phaseteleporter,13,2800,400,6000,6250,400,70,1,110,155,120,45,90,250,FRONT,,270,0.5,0.6,,,5,15,10,15,1,15,10,100000,8,40,150,0.25,15,15,,,,,,,,"no_sell, no_dealer, restricted",0.5,0.75,2,2,,202
Baasilisk ,ls_basilisk_baa,Прототип тяжелого фрегата,Высокие технологии,ls_temporal_shield,9,2400,400,3600,3767,280,70,1,100,110,90,50,100,300,OMNI,,180,0.4,1,,,25,40,50,30,1,30,10,65000,8,25,300,0.25,10,10,,,,,,,,"no_sell, no_dealer, restricted",0.2,0.65,2,4,,777776
Miemieko ,ls_miemieko,Дрон,Высокие технологии,flarelauncher_fighter,,500,100,750,,75,,,300,400,400,200,400,5,FRONT,,360,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дефф-сквадрон,ls_deff_skwardon_uzgob,Истребитель-бомбардировщик,Злые Солнца,ls_deff_skwadron,,1000,150,1500,,150,,,240,400,300,100,150,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Дефф-сквадрон - Киллбой,ls_deff_skwardon_killboy,Истребитель-бомбардировщик,Злые Солнца,ls_uh_oh_killboy,,750,150,1200,,120,,,240,400,300,100,150,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Дефф-сквадрон - Да Гусь,ls_deff_skwardon_goose,Истребитель-бомбардировщик,Злые Солнца,ls_deff_skwardon_killboy_spawner,,750,150,1200,,120,,,240,400,300,100,150,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
