name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noУВСInTooltip,number
Paladin система ПВО (Tri),A_S-F_paladin_tri,0,,100000,600,600,,,0,75,,12,1,,ENERGY,,240,0,0,0.2,0.1,,,,,1000000,,,,,,,"PD, ANTI_FTR, SYSTEM, SHOW_IN_CODEX","pd19, beam15",,,,ПВО,,,,,"Когда все подлучи попадают в цель рядом друг с другом, эффект скалывания создает взрыв, наносящий до 100 очков осколочного урона другим ближайшим целям.",100 | осколочный,,,,22226
Shevalye система ПВО,A_S-F_paladin_tri_mod,0,,100000,600,600,,,0,75,,,,,ENERGY,,210,0,0,0.25,0.25,,,,,1000000,,,,,,,"PD, ANTI_FTR, SYSTEM, SHOW_IN_CODEX","pd19, beam15, codex_require_related",,,,ПВО,,,,,"Когда все подлучи попадают в цель рядом друг с другом, эффект скалывания создает взрыв, наносящий до 100 очков осколочного урона другим ближайшим целям.",100 | осколочный,,,,22226.1
Мортира разрушения,A_S-F_dis_mortar,0,,1000,400,,40,80,10,30,,,,,FRAGMENTATION,50,,0,1,1,,0,15,3,10,,500,,,10,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT",kinetic1,,,,Подавление,,,,,,,,,,2220.8
Formia излучатель,A_S-F_formia,0,,10000,800,,80,300,0,0,,,,,ENERGY,80,,0.6,6.5,6,0.3,0,4,1,2,,800,200,2.5,90,,,"SYSTEM, DO_NOT_AIM, MISSILE_SPREAD, SHOW_IN_CODEX","energy10, missile12, restricted, codex_require_related",,Остатки,,Подавление,Очень быстрая,Хорошее,,,"Попадания по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный %s исходного попадания.",25%,Наведение снаряда улучшается установкой %s или любым другим источником улучшенной маневренности %s.,ЭЦМ | ракета,,22216.1
импульсный ионный луч (истребитель),A_S-F_p_ion_f,0,,1000,700,70,,450,0,20,,,,,ENERGY,,90,0.2,0.1,0.8,1.6,,,,,1500,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT, SHOW_IN_CODEX","beam10, LR, codex_require_related",,Остатки,,Подавление,,,,,"Попадания по корпусу или броне периодически перекидываются дугой на оружие и двигатели, нанося дополнительный ЭМИ- и энергетический урон. Попадания по щитам имеют шанс создать пробивающую щит дугу в зависимости от уровня жесткого потока цели.",,,,,22222.86
Formia излучатель (система),A_S-F_formia_sys,0,,10000,1600,,65,200,0,0,,,,,ENERGY,65,,0.5,1,1,,0,4,1,2,,800,200,5,80,,,"SYSTEM, DO_NOT_AIM, MISSILE_SPREAD","energy10, missile12, restricted",,,,Подавление,Очень быстрая,Хорошее,,,"Попадания по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный %s исходного попадания.",25%,Наведение снаряда улучшается установкой %s или любым другим источником улучшенной маневренности %s.,ЭЦМ | ракета,,22216.2
завеса иллюзий,A_S-F_phantasmagoria_missile,0,,10000,900,,160,40,10,0,,30,1.25,10,ENERGY,,,0,2.3,10,0.1,0,0,0,,,500,1000,6,140,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST, SHOW_IN_CODEX","no_drop, no_sell, no_drop_salvage, codex_require_related",,,,Универсальное,Быстрая,Отличное,,,,,,,,22219.11
покров иллюзий,A_S-F_phantasmagoria_micro_missile,0,,10000,900,,80,100,5,0,,64,2.666666,16,FRAGMENTATION,,,0,1.65,8,0.05,0,0,0,,,600,1200,5,40,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST, SHOW_IN_CODEX","no_drop, no_sell, no_drop_salvage, codex_require_related",,,,Подавление,Очень быстрая,Отличное,,,"Попадания по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный %s исходного попадания.",40%,,,,22219.12
раздел иллюзий,A_S-F_phantasmagoria_missile_stk,0,,10000,900,,400,120,25,0,,8,0.25,4,HIGH_EXPLOSIVE,,,0,4.4,4,0.2,0,0,0,,,400,400,4.5,250,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, DIRECT_AIM, DO_NOT_AIM, DO_NOT_CONSERVE, RESET_BARREL_INDEX_ON_BURST, SHOW_IN_CODEX","no_drop, no_sell, no_drop_salvage, codex_require_related",,,,Ударное,Быстрая,Хорошее,,,"Вызывает взрыв при попадании, нанося %s урона ближайшим целям.",100 энергетический,,,,22219.13
режущий барраж,A_S-F_phantasmagoria_cutter,0,,1000,500,,20,,2,50,,,,,ENERGY,10,,0,0.1,,,6,14,1,8,,1600,,,,,,"SYSTEM, PD, PD_ALSO, SHOW_IN_CODEX","no_drop, no_sell, no_drop_salvage, codex_require_related",,,,Штурмовое,,,,,"После использования пространственного телепорта это оружие ненадолго перегружается.
В перегруженном состоянии выстрелы наносят %s урона.",40,,,,22219.2
режущий барраж перегруз,A_S-F_phantasmagoria_cutter_overcharge,0,,1000,500,,40,10,4,50,,,,,ENERGY,10,,0,0.1,,,6,14,1,8,,1600,,,,,,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Силовое,,,,,,,,,,22219.25
рассекающий барраж,A_S-F_phantasmagoria_slicer,0,,1000,450,,15,,1,50,,,,,KINETIC,8,,0,0.6,,,14,22,2,8,,1200,,,,,6,"SYSTEM, PD, PD_ALSO, SHOW_IN_CODEX","no_drop, no_sell, no_drop_salvage, codex_require_related",,,,Штурмовое,,,,,"После использования пространственного телепорта это оружие ненадолго перегружается.
В перегруженном состоянии выпускает %s выстрелов за раз.",12,,,,22219.3
рассекающий барраж перегруз,A_S-F_phantasmagoria_slicer_overcharge,0,,1000,450,,15,5,2,50,,,,,KINETIC,8,,0,0.6,,,14,22,1,8,,1300,,,,,6,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Силовое,,,,,,,,,,22219.35
пробивающий барраж,A_S-F_phantasmagoria_piercer,0,,1000,550,,60,20,6,50,,,,,HIGH_EXPLOSIVE,48,,0,0.7,2,0.1,2,7,1,6,,2000,,,,,,"SYSTEM, PD, PD_ALSO, SHOW_IN_CODEX","no_drop, no_sell, no_drop_salvage, codex_require_related",,,,Штурмовое,,,,,"После использования пространственного телепорта это оружие ненадолго перегружается.
В перегруженном состоянии выстрелы наносят %s урона, а попадания по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный %s исходного попадания.",100 | 30%,,,,22219.4
пробивающий барраж перегруз,A_S-F_phantasmagoria_piercer_overcharge,0,,1000,550,,100,60,12,50,,,,,HIGH_EXPLOSIVE,48,,0,0.4,,,2,7,1,6,,2000,,,,,,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Силовое,,,,,,,,,,22219.45
Disruption автопушка,A_S-F_dis_ac,0,,1000,400,,35,50,5,40,,,,,KINETIC,25,,0,0.5,1,,0,7,1,15,,800,,,20,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT",,,,,Подавление,,,,,,,,,,2220.9
Vunja автопушка,A_S-F_breaker,0,,100000,900,,100,,10,10,,,,,FRAGMENTATION,75,,0,0.25,1,,0,8,1,12,,800,,,40,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT, SHOW_IN_CODEX",codex_require_related,,[АркТех],,Универсальное,,,,,Выстрелы наносят дополнительно %s урона при попадании.,50 фугасный,,,,222001
Gaderoga ракета,A_S-F_gaderoga_rkt,0,,1000,1000,,100,10,10,0,,,,,KINETIC,,,0,0.1,1,,4,12,2,8,,700,100,3,80,,,SYSTEM,,,,,Против щитов,Быстрая,Нет,,,,,,,,222002
Ракета Gaderoga,A_S-F_gaderoga_mssl,0,,1000,1000,,120,20,10,0,,,,,FRAGMENTATION,,,0,0.1,1,,0,0,0,0,,450,150,4,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD",,,,,Подавление,Быстрая,Отличное,,,,,,,,222003
Ракета Gaderoga 2,A_S-F_gaderoga_mssl_2,0,,1000,1000,,120,20,10,0,,,,,FRAGMENTATION,,,0,0.1,1,,0,0,0,0,,450,250,4,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD",,,,,Подавление,Быстрая,Отличное,,,,,,,,222003.1
Kombora ракетная установка,A_S-F_kombora,0,,1000,1500,,200,200,15,20,,8,0.4,,FRAGMENTATION,0,,0,1,1,,5,10,1,5,,450,80,4.5,80,,,"SYSTEM, GUIDED_POOR, DO_NOT_CONSERVE, MISSILE_SPREAD, SHOW_IN_CODEX",codex_require_related,,[АркТех],,Подавление,Быстрая,Средняя,,,"Попадания по щитам имеют шанс пробиться дугой к оружию и двигателям, нанося %s ЭМИ-урона. Шанс пробить щит зависит от уровня жесткого потока цели.",200,,,,222006
Глушащий массив Zalak,A_S-F_zalak,0,,10000,800,200,,150,300,12,,,,,ENERGY,,400,0.25,0.5,0.75,2.5,,,,,20000,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT, SHOW_IN_CODEX",codex_require_related,,[АркТех],,Нарушение,,,,,"Если луч попадает по кораблю, оружие выпускает очередь из %s снарядов, каждый наносит %s и %s урона и пробивается дугой сквозь щиты к оружию и двигателям, нанося %s урона.
Сам луч замедляет цели и сбивает их с курса. Эффект силен и особенно заметен на легких целях.",7 | 80 энергетический | 150 ЭМИ | 75 ЭМИ,,,,222007
Dhoruba ракетный массив,A_S-F_rainstorm_L,0,,100000,1500,,135,,10,10,,,,,KINETIC,54,,0,0.75,1,,0,8,1,12,,750,350,5,100,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, SHOW_IN_CODEX",codex_require_related,DHORUBA_ONLY,[АркТех],,Против щитов,Быстрая,Хорошее,,,,,,,,222009
Dhoruba ракетный массив,A_S-F_rainstorm_R,0,,100000,1500,,135,,10,10,,,,,KINETIC,54,,0,0.75,1,,0,8,1,12,,750,350,5,100,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT",invisible_in_codex,DHORUBA_ONLY,[АркТех],,Против щитов,Быстрая,Хорошее,,,,,,,,222009.1
Grandum торпедная установка,A_S-F_grandum_torp,0,,10000,1500,,600,60,60,10,,,,,FRAGMENTATION,0,,0,1,1,,0,0,0,0,,450,150,5,250,,,"SYSTEM, GUIDED_POOR, MISSILE_SPREAD",,,[АркТех],,Добивание,Быстрая,Хорошее,,,,,,,,222010
Zweig ПРМ,A_S-F_zweig_srm,0,,1000,800,,125,,10,10,,,,,HIGH_EXPLOSIVE,0,,0,0.1,1,,20,40,5,3,,500,160,5,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD",,,,,Против малых целей,Очень быстрая,Отличное,,,,,,,,222200
Tereshkov ударная ракета,A_S-F_tereshkov_rocket,0,,10000,1500,,800,,35,10,,4,0.066666,1,HIGH_EXPLOSIVE,0,,0,4,1,,0,0,0,,,700,100,4.5,300,,,"SYSTEM, DO_NOT_AIM, CONSERVE_1, STRIKE, USE_VS_FRIGATES, DIRECT_AIM, SHOW_IN_CODEX",codex_require_related,,,,Ударное,Очень быстрая,Средняя,,,"При попадании в цель выпускается веер из %s снарядов, каждый наносит %s урона.",5 | 150 осколочный,,,,222201
Coralian узлы фотонного ланцета L,A_S-F_coralian_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,ДЕКОР,,,,,,,,,,22205.1
Coralian узлы фотонного ланцета R,A_S-F_coralian_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,ДЕКОР,,,,,,,,,,22205.2
Coralian фотонный ланцет,A_S-F_coralian_core,0,,10000,700,,250,,10,18,,,,,ENERGY,200,,0,4,1,,0,0,0,0,,1000,,,80,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, SHOW_IN_CODEX",codex_require_related,,,,Ударное,,,,Особая,"Выстрелы запускаются из портов на корпусе, расходятся и затем разворачиваются к текущей цели.",,,,,22205.3
Coralian субснаряд фотонного ланцета,A_S-F_coralian_sub,0,,10000,760,,250,,10,18,,,,,ENERGY,200,,0,4,1,,0,0,0,0,,1000,,,80,,,"SYSTEM, DO_NOT_AIM, STRIKE, USE_VS_FRIGATES",,,,,Ударное,,,,Особая,"Выстрелы запускаются из портов на корпусе, расходятся и затем разворачиваются к текущей цели.",,,,,22205.4
Compac массив искателей,A_S-F_compac,0,,10000,500,,30,,1,90,,,,,ENERGY,10,,0,0.85,4,0.05,2,10,2,4,,800,,,10,,10,"SYSTEM, GUIDED_POOR, PD, IGNORES_FLARES, SHOW_IN_CODEX",codex_require_related,,,,ПВО,,,,,Каждый снаряд наносит %s дополнительного урона при попадании по ракете или истребителю.,30,,,,22205.5
Compac субснаряд массива искателей,A_S-F_compac_sub,0,,10000,600,,30,,1,90,,,,,ENERGY,10,,0,0.85,4,0.05,2,10,2,4,,800,,,10,,10,"SYSTEM, GUIDED_POOR, PD, IGNORES_FLARES",,,,,ПВО,,,,,Каждый снаряд наносит %s дополнительного урона при попадании по ракете или истребителю.,30,,,,22205.6
тактическое копье,A_S-F_tacLance,0,,1000,1000,160,,,1,25,,,,,ENERGY,,0,0.15,0.15,0.65,1.45,,,,,4000,,,,,,,"SYSTEM, PD, SHOW_IN_CODEX",,,,,Универсальное / ПВО,,,,,,,,,,222018.1
Huivi ракетный блок,A_S-F_henki_l,0,,1000,1600,,100,40,5,10,,30,0.5,6,FRAGMENTATION,,,0,2.25,6,0.15,1,1,0,0,,600,750,4.5,90,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST",,HUIVI_ONLY,,,Насыщение,Быстрая,Хорошее,,,,,,,,22206
Huivi ракетный блок,A_S-F_henki_r,0,,1000,1600,,100,40,5,10,,30,0.5,6,FRAGMENTATION,,,0,2.25,6,0.15,1,1,0,0,,600,750,4.5,90,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST",,HUIVI_ONLY,,,Насыщение,Быстрая,Хорошее,,,,,,,,22206.1
Huivi ракетный блок,A_S-F_pneuma_pod,0,,1000,1600,,100,40,5,10,,80,1.333333,16,FRAGMENTATION,,,0,2.3,8,0.1,1,1,0,0,,600,500,4.5,90,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST, SHOW_IN_CODEX",codex_require_related,HUIVI_ONLY,,,Насыщение,Быстрая,Хорошее,,,,,,,,22206.2
Kombeo кластерная зенитка (истребитель),A_S-F_kombeo_f,0,,1000,400,,40,,10,60,,,,,HIGH_EXPLOSIVE,50,,0,0.66666,1,,0,12,2,12,,700,,,40,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,[АркТех],,ПВО (по площади),,,,,"Снаряды выпускают %s кластеров, каждый наносит %s осколочного урона.",3 | 20,,,,222014.1
Kundi пусковая ПРМ,A_S-F_kundi,0,,1000,1000,,120,20,10,0,,3,0.125,1,FRAGMENTATION,,,0,2.4,3,0.3,0,0,0,0,,450,150,4,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD, SHOW_IN_CODEX",codex_require_related,,[АркТех],,Против малых целей,Быстрая,Отличное,,,,,,,,22207
АУРА болтер,A_S-F_AURA_bolter,0,,10000,800,,100,,10,16,,,,,FRAGMENTATION,30,,0,0.2,1,,0,10,1,12,,800,,,40,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT, SHOW_IN_CODEX",codex_require_related,,[АркТех],,Универсальное,,,,,"Когда активен %s, выстрелы становятся заряженными и наносят дополнительно %s урона при попадании.",питание АУРА | 100 энергетический,,,,22208
АУРА болтер заряженный,A_S-F_AURA_bolter_charged,0,,10000,800,,100,,10,16,,,,,FRAGMENTATION,30,,0,0.2,1,,0,10,1,12,,800,,,40,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT",,,[АркТех],,Универсальное,,,,,Выстрелы заряжены и наносят дополнительно %s урона при попадании.,100 энергетический,,,,22208.1
Gimbal блок микроракет (Bomber),A_S-F_gimbal_bomber,0,,1000,1200,,100,,25,10,,10,,,KINETIC,0,,0,4.2,10,0.2,6,20,2,2,,550,90,4,50,,6,"SYSTEM, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD, DIRECT_AIM, SHOW_IN_CODEX",,,,,Против щитов,Быстрая,Хорошее,,,,,,,TRUE,22211.11
Sprocket HПРМ (Bomber),A_S-F_sprocket_bomber,0,,1000,1200,,300,100,15,10,,2,,,ENERGY,0,,0,4.5,2,0.5,0,0,0,0,,360,50,4.75,150,,6,"SYSTEM, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD, SHOW_IN_CODEX",,,,,Против малых целей,Средняя,Хорошее,,,,,,,TRUE,22211.71
Contradict ракета (Bomber),A_S-F_contradict_bomber_fake,0,,1000,1200,,400,600,15,10,,1,,,FRAGMENTATION,0,,0,5,1,,8,8,0,0,,400,0,4.5,150,,6,"SYSTEM, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD, SHOW_IN_CODEX",,,,,Подавление,Быстрая,Слабое (коррекция курса),,,"При попадании увеличивает мягкий поток цели на %s.
Попадания по корпусу или броне создают до %s дуг, каждая наносит %s и %s урона.",450 | 3 | 40 энергетический | 150 ЭМИ,,,TRUE,222102.1
Aspina рассеивающие ракеты,A_S-F_aspina,0,,10000,1200,,75,,16,0,,100,3.33333,10,HIGH_EXPLOSIVE,0,,0,2.76,5,0.06,32,32,0,0,,500,90,4,50,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, SHOW_IN_CODEX",codex_require_related,,,,Против малых целей,Быстрая,Отличное,,,,,"Скорость восстановления боезапаса снижена до %s от стандартной, пока активен %s.",25% | баллистический форсаж,,22212.2
Akva Vit Graviton Missiles,A_S-F_akvavit,0,,10000,1600,,30,,15,10,,,,,KINETIC,0,,0,7.85,24,0.05,4,4,0,0,,500,130,5.5,100,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, RESET_BARREL_INDEX_ON_BURST, SHOW_IN_CODEX",codex_require_related,,,,Нарушение,Быстрая,Отличное,,,"При попадании применяет импульс, притягивающий цель.",,,,,22212.3
Philia Mag Missiles,A_S-F_akvavit_lafiel,0,,10000,1600,,60,100,15,10,,,,,ENERGY,0,,0,6.9,12,0.1,4,4,0,0,,400,120,6.6,180,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, RESET_BARREL_INDEX_ON_BURST, SHOW_IN_CODEX",codex_require_related,,,,Нарушение,Быстрая,Отличное,,,"При попадании магнитные помехи замедляют цель.

Попадания по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный ЭМИ- и энергетический урон. Попадания по щитам имеют шанс создать пробивающую щит дугу в зависимости от уровня жесткого потока цели.",,,,,22212.4
Короткая мортира,A_S-F_snubmortar,0,,10000,500,,150,,16,30,,,,,HIGH_EXPLOSIVE,120,,0,1.2,1,0,2,17,5,5,,500,,,30,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, SHOW_IN_CODEX",,,,,Против брони,,,,,,,,,,22203.9
Macron пушка (одиночная),A_S-F_macron_single,0,,1000,900,,20,5,2,20,,,,,HIGH_EXPLOSIVE,15,,0.1,1.25,6,0.05,0,0,0,0,,1200,,,10,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,,,Против брони,,,,,,,,,,2223.21
Cauldron торпеда сдвига потока,A_S-F_cauldron,0,,1000,1200,,800,1600,40,10,,1,,,ENERGY,0,,0,5,1,,0,0,0,0,,440,100,3.5,480,,,"SYSTEM, STRIKE, SHOW_IN_CODEX",,,,,Торпедное,Быстрая,Нет,,,"Попадания по щитам превращают до %s мягкого потока цели в жесткий поток.

Попадания по корпусу или броне %s раз перекидываются дугой на оружие и двигатели; каждая дуга наносит %s энергетического и %s ЭМИ-урона.",1000 | 4 | 100 | 400,,,TRUE,2229.1
микроимпульсный повторитель (High Delay),A_S-F_micropulser_ammon,0,,1000,400,,20,,1,100,,6,2,3,ENERGY,12,,0.06666,0,1,,2,6,0.5,2.5,,1000,,,,,,"SYSTEM, PD",,,,,ПВО,,,,,,,,,,22217.1
Торпеда класса Moros,A_S-F_moros_f,0,,1000,1200,,600,,20,10,,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,700,400,3,180,,,"SYSTEM, STRIKE, SHOW_IN_CODEX",codex_require_related,,Остатки,,Торпедное,Очень быстрая,Нет,,,,,,,TRUE,2229.21
Quicksand машинная пушка (истребитель),A_S-F_quicksand_f,0,,1000,500,,30,,2,40,,20,3.33333,5,HIGH_EXPLOSIVE,18,,0,0.1,,,1,8,0.5,6,,900,,,20,,,"SYSTEM,PD,ANTI_FTR, SHOW_IN_CODEX",,,,,ПВО,,,,,,,,,,2223.851
Omer рассеивающие ракеты (истребитель),A_S-F_omer_f,0,,1000,1000,,60,,15,40,,4,0.2,2,HIGH_EXPLOSIVE,15,,0,9.9,2,0.1,16,16,0,0,,450,90,3,25,,,"SYSTEM,ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SHOW_IN_CODEX",,,,,Против малых целей,Быстрая,Отличное,,,,,,,,22212.11
Зенитная пушка Jury,A_S-F_jury,0,,10000,600,,140,,10,50,,,,,FRAGMENTATION,21,,0,3.4,6,0.12,4,18,2,4,,650,,,30,,,"SYSTEM, PD",codex_require_related,,,,ПВО (по площади),,,,,,,,,,222104.1
Expiation,A_S-F_expiation,0,,100000,700,,200,,0,20,60,,,,ENERGY,200,,0,1,37,0.4,0,0,0,0,,1200,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT",damage_special,,,,Ликвидация,,,,,"%s
Заряжает выстрел, который выпускается при отпускании спуска.
Подробнее см. модификацию корпуса.",заряжаемая снайперская пушка,,,TRUE,222222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пустошь - фиктивный,A_S-F_wasteland_dummy,0,,1000,1000,,125,,15,50,,,,,HIGH_EXPLOSIVE,0,,0,0.1,1,,0,0,0,0,,400,200,4,50,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM",,,,,Против малых целей,Быстрая,Отличное,,,,,,,,22210.11
Nieuport линейная винтовка суб 1,A_S-F_nieuport_sub_1,0,,1000,700,,75,10,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.1
Nieuport линейная винтовка суб 2,A_S-F_nieuport_sub_2,0,,1000,700,,75,20,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.2
Nieuport линейная винтовка суб 3,A_S-F_nieuport_sub_3,0,,1000,700,,75,30,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.3
Nieuport линейная винтовка суб 4,A_S-F_nieuport_sub_4,0,,1000,700,,75,40,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.4
Nieuport линейная винтовка суб 5,A_S-F_nieuport_sub_5,0,,1000,700,,75,50,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.5
Заряд Zalak,A_S-F_zalak_bolt,0,,1000,950,,80,150,0,25,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,888,,,60,,,SYSTEM,,,,,,,,,,,,,,,222007.1
Ракета АУРА,A_S-F_AURA_missile,0,,1000,1200,,120,,5,25,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,600,300,5,80,,,SYSTEM,,,,,,,,,,,,,,,222011
Kabid суб 1,A_S-F_kabid_sub1,0,,1000,900,,140,10,10,12,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,3750,,,50,,,SYSTEM,,,,,,,,,,,,,,,222013.1
Kabid суб 2,A_S-F_kabid_sub2,0,,1000,900,,120,20,8,12,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,3500,,,50,,,SYSTEM,,,,,,,,,,,,,,,222013.2
Kabid суб 3,A_S-F_kabid_sub3,0,,1000,900,,100,30,6,12,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,3250,,,50,,,SYSTEM,,,,,,,,,,,,,,,222013.3
Kabid суб 4,A_S-F_kabid_sub4,0,,1000,900,,80,40,4,12,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,3000,,,50,,,SYSTEM,,,,,,,,,,,,,,,222013.4
Всплеск Naxdin,A_S-F_naxdin_burst,0,,1000,12,,120,,1,12,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,4,,,50,,,SYSTEM,dummy_proj,,,,,,,,,,,,,,222016.1
Заряд Naxdin,A_S-F_naxdin_bolt,0,,1000,50,,40,50,5,12,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,800,,,50,,,SYSTEM,dummy_proj,,,,,,,,,,,,,,222016.2
Tereshkov - попадание,A_S-F_tereshkov_onhit,0,,1000,120,,150,,4,10,,,,,FRAGMENTATION,0,,0,0.1,1,,0,0,0,0,,600,,,10,,,SYSTEM,,,,,Против брони,,,,,,,,,,222201.1
Kufikiri - фугасный субснаряд,A_S-F_kufikiri_HE_sub,0,,1000,1000,,240,,16,10,,,,,HIGH_EXPLOSIVE,0,,0,0.1,1,,0,0,0,0,,700,,,100,,,SYSTEM,,,,,,,,,,,,,,,222017.1
Kufikiri - кинетический субснаряд,A_S-F_kufikiri_KE_sub,0,,1000,1000,,120,60,9,10,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,800,,,100,,,SYSTEM,,,,,,,,,,,,,,,222017.2
Поле коллапса Chillblain,A_S-F_chillblain_field,0,,100000,100,,5000,1000,10,18,,,,,ENERGY,0,,0,1,1,,0,0,0,0,,1,,,800,,,SYSTEM,dummy_proj,,,,Разрушение,,,,,,,,,,22200.11
Nasibu - фиктивный,A_S-F_nasibu_dummy,0,,10000,1500,,200,,10,15,,,,,ENERGY,0,,0,0.1,1,,5,5,0,0,,500,1,9,80,,,SYSTEM,,,,,,,,,,Ракеты запускаются веером со случайной ориентацией запуска.,,,,,222019.1
Зенитный Spellbind,A_S-F_spellbind_flak,0,,100000,40,,200,,15,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,40,,,100,,,SYSTEM,dummy_proj,,,,,,,,,,,,,,22200.21
